town,price,size,bedrooms,bathrooms
Jurong West,510000,93,3,2
Woodlands,548888,92,3,2
Jurong East,468000,92,3,2
Choa Chu Kang,540000,121,3,2
Choa Chu Kang,478000,119,3,2
Punggol,470000,68,2,2
Punggol,790000,112,3,2
Jurong East,750000,120,3,2
Yishun,888000,142,4,2
Yishun,554000,93,3,2
Bishan,1300000,146,4,3
Queenstown,938000,93,3,2
Bedok,490000,91,3,2
Yishun,800000,145,3,2
Pasir Ris,680000,128,4,2
Pasir Ris,680000,128,4,2
Bukit Batok,780000,154,0,2
Sengkang,508000,93,3,3
Sengkang,600000,96,3,2
Choa Chu Kang,538888,110,3,2
Pasir Ris,540000,105,3,2
Punggol,520000,90,3,2
Geylang,799888,93,3,2
Sembawang,588000,100,3,2
Bukit Merah,960000,93,3,2
Hougang,700000,92,3,2
Marine Parade,438000,76,3,1
Bishan,435000,67,2,2
Ang Mo Kio,899000,113,3,2
Toa Payoh,855000,93,3,2
Choa Chu Kang,785000,146,4,2
Kallang/Whampoa,928000,93,3,2
Toa Payoh,768000,68,2,2
Tampines,450000,74,2,2
Geylang,650000,721,2,2
Sembawang,648888,137,4,2
Sembawang,710000,113,3,2
Woodlands,550000,115,3,2
Sembawang,450000,67,2,2
Bedok,358000,68,2,2
Bedok,870000,105,4,2
Sembawang,620000,93,3,2
Bedok,870000,105,4,2
Hougang,520000,91,3,2
Toa Payoh,768000,68,2,2
Geylang,580000,60,2,2
Bukit Merah,750000,69,2,2
Choa Chu Kang,660000,110,3,0
Sembawang,320000,47,1,1
Woodlands,485000,101,3,2
Woodlands,588000,93,3,2
Jurong West,299000,47,1,1
Yishun,399314,84,3,2
Toa Payoh,950000,83,3,1
Punggol,750000,113,3,2
Jurong West,550000,110,3,2
Bedok,418000,82,2,2
Yishun,670000,112,3,2
Bedok,320000,67,2,2
Woodlands,700000,143,4,2
Toa Payoh,358000,62,3,1
Bishan,739000,100,3,2
Bedok,458000,84,3,1
Punggol,550000,110,3,2
Hougang,600000,110,3,2
Ang Mo Kio,688000,90,3,2
Ang Mo Kio,488888,82,2,2
Ang Mo Kio,488888,82,2,2
Sembawang,620000,110,3,2
Tampines,650000,110,3,2
Bishan,738000,100,3,2
Kallang/Whampoa,390000,68,2,1
Woodlands,500000,103,3,2
Central Area,400000,66,2,1
Sengkang,550000,112,2,2
Woodlands,615000,126,4,2
Tampines,740000,128,4,2
Woodlands,358888,69,2,1
Sembawang,560000,110,3,2
Kallang/Whampoa,360000,65,2,1
Bukit Merah,990000,92,3,2
Geylang,688000,112,3,2
Punggol,545000,92,3,2
Toa Payoh,700000,103,3,2
Ang Mo Kio,500000,92,3,2
Jurong West,700000,125,4,2
Kallang/Whampoa,350000,59,2,2
Serangoon,920000,146,4,3
Woodlands,395000,67,2,2
Kallang/Whampoa,600000,90,3,2
Toa Payoh,700000,104,3,2
Bishan,1400000,120,3,2
Hougang,480000,84,3,2
Hougang,750000,131,4,2
Serangoon,900000,99,3,2
Pasir Ris,1000000,146,3,2
Kallang/Whampoa,448000,78,0,2
Jurong West,460000,104,3,2
Yishun,450000,84,3,2
Woodlands,525000,92,3,2
Jurong West,548000,93,3,2
Bedok,410000,67,2,2
Sengkang,748000,92,3,2
Yishun,495000,93,3,2
Sengkang,600000,94,3,2
Woodlands,580000,121,4,2
Jurong West,599000,125,3,2
Bukit Batok,355000,69,2,2
Toa Payoh,858000,93,3,2
Queenstown,888000,94,3,2
Hougang,1000000,154,4,3
Sengkang,650000,110,3,2
Sengkang,580000,111,3,2
Toa Payoh,1088888,122,4,2
Bishan,888880,131,4,2
Sengkang,600000,109,3,2
Woodlands,588000,93,3,2
Woodlands,380000,68,2,2
Jurong West,560000,111,3,2
Punggol,588888,93,3,2
Toa Payoh,810000,119,3,2
Woodlands,500000,102,3,2
Sengkang,578000,90,3,2
Geylang,330000,60,2,1
Sembawang,438000,87,3,2
Choa Chu Kang,400000,92,3,2
Queenstown,428000,65,2,2
Queenstown,428000,65,2,2
Queenstown,938000,93,3,2
Jurong West,698000,146,5,2
Bukit Merah,338000,60,2,1
Queenstown,830000,95,3,2
Jurong East,738000,121,3,2
Jurong West,850000,121,4,3
Jurong West,850000,121,4,4
Serangoon,1100000,146,4,2
Bedok,490000,95,3,2
Woodlands,550000,93,3,2
Bukit Merah,650000,99,3,2
Jurong East,385000,67,2,2
Woodlands,368888,47,1,1
Hougang,550000,93,3,2
Geylang,780000,107,3,2
Tampines,600000,98,3,2
Woodlands,570000,10,3,2
Tampines,420000,75,2,1
Queenstown,730000,85,3,2
Tampines,420000,75,2,1
Queenstown,730000,85,3,2
Toa Payoh,750000,86,3,2
Toa Payoh,715000,93,3,2
Bedok,4200,144,3,2
Queenstown,988000,106,3,2
Choa Chu Kang,550000,104,3,2
Tampines,570000,103,3,2
Yishun,520000,92,3,2
Choa Chu Kang,665000,113,3,2
Yishun,10838000,165,5,3
Geylang,345000,60,2,1
Woodlands,499000,114,3,2
Kallang/Whampoa,740000,90,3,2
Sembawang,488000,68,2,2
Yishun,538000,93,3,2
Bedok,680000,121,3,2
Sembawang,488000,68,2,2
Sembawang,438000,87,3,2
Jurong East,385000,67,2,2
Jurong West,418888,74,2,2
Bukit Batok,530000,99,3,2
Yishun,800000,146,4,3
Sengkang,600000,94,3,2
Ang Mo Kio,390000,67,2,2
Bukit Panjang,588000,122,4,2
Sengkang,588000,113,4,2
Choa Chu Kang,478000,106,3,2
Punggol,588000,110,3,2
Tampines,600000,104,3,2
Queenstown,980000,102,4,2
Bukit Merah,978000,91,3,2
Ang Mo Kio,498000,88,3,2
Kallang/Whampoa,350000,60,2,1
Woodlands,788000,145,4,2
Jurong West,698000,113,3,2
Sembawang,500000,93,3,2
Choa Chu Kang,630000,113,3,2
Hougang,520000,91,3,2
Toa Payoh,768000,68,2,2
Hougang,488888,84,3,2
Punggol,638000,90,3,2
Tampines,950000,146,3,3
Clementi,598000,119,3,2
Woodlands,720000,113,3,2
Yishun,598000,122,4,2
Jurong West,500000,132,3,2
Tampines,660000,125,3,2
Sengkang,488000,67,2,2
Pasir Ris,808000,148,3,3
Choa Chu Kang,590000,121,3,2
Sembawang,538000,95,3,2
Woodlands,530000,93,3,2
Queenstown,1000000,93,3,2
Bukit Merah,800000,92,3,2
Jurong West,568000,103,3,2
Woodlands,438888,67,2,2
Toa Payoh,340000,66,2,2
Choa Chu Kang,788000,145,4,2
Kallang/Whampoa,386000,60,3,1
Bedok,475000,89,3,2
Hougang,498000,104,3,2
Geylang,838000,85,3,2
Jurong West,468000,90,0,2
Kallang/Whampoa,400000,59,2,2
Punggol,620000,92,3,2
Queenstown,1000000,96,3,2
Bedok,995000,130,5,2
Tampines,980000,146,4,3
Hougang,650000,103,3,2
Pasir Ris,920000,147,4,2
Bedok,520000,94,3,2
Queenstown,988000,106,3,2
Choa Chu Kang,533888,93,3,0
Toa Payoh,332000,66,2,0
Jurong West,440000,104,3,0
Choa Chu Kang,548000,92,3,2
Bishan,588800,67,2,0
Ang Mo Kio,700000,92,3,2
Choa Chu Kang,888000,144,3,2
Choa Chu Kang,648000,142,3,2
Choa Chu Kang,800000,148,4,2
Sengkang,495000,90,3,2
Woodlands,485000,96,3,0
Bukit Panjang,1000000,146,4,3
Sengkang,660000,110,3,2
Ang Mo Kio,510000,91,3,2
Bishan,688000,122,4,2
Pasir Ris,788888,143,4,2
Geylang,538000,84,3,0
Ang Mo Kio,958000,113,3,2
Queenstown,340000,60,2,1
Toa Payoh,808000,93,3,2
Ang Mo Kio,580000,91,3,2
Ang Mo Kio,938000,110,3,2
Jurong West,548000,93,3,2
Punggol,538888,90,3,2
Ang Mo Kio,450000,88,3,2
Bukit Merah,400000,59,2,2
Serangoon,520000,100,3,2
Bedok,720000,93,3,2
Woodlands,900000,142,2,2
Woodlands,580000,122,3,2
Tampines,698000,122,3,2
Woodlands,560000,93,3,2
Toa Payoh,332000,66,2,1
Yishun,520000,92,3,2
Ang Mo Kio,438000,68,2,2
Geylang,620000,92,3,2
Bedok,659999,118,3,2
Toa Payoh,808000,93,3,2
Tampines,550000,94,3,2
Jurong East,728000,120,3,2
Queenstown,888000,94,3,2
Bukit Batok,405000,67,2,2
Bukit Merah,1050000,93,3,2
Woodlands,558000,93,3,2
Jurong West,460000,104,3,2
Sengkang,988000,142,4,3
Toa Payoh,810000,119,3,2
Clementi,450000,82,3,2
Jurong West,680000,112,3,0
